human_id_from_house_2,contribution_to_house2
5,30
6,70
7,40
8,80
9,50
15,0
16,20
17,10
18,30
19,40
25,0
26,0
27,0
28,20
34,0
35,0
36,0
37,10
38,10
47,0
48,10
49,0
50,0
51,40
52,0
53,10
54,30
62,10
63,0
64,10
65,0
66,30
67,0
68,20
77,0
78,0
79,0
80,10
81,0
82,0
83,0
84,0
85,0
94,0
95,0
96,0
97,0
98,0
99,0
100,10
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,10
164,0
165,0
166,0
167,0
168,0
169,0
170,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,20
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,10
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
396,0
397,20
398,10
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
481,0
482,0
483,0
484,0
485,0
488,0
489,0
491,0
